Cycles to Failure,Stress Amplitude,hatch space  (μm),layer scan rotation  (°),wire feed rate  (mm/s),types of feedstock,ultimate tensile strength  (MPa),scan speed  (mm/s),scan pattern,current  (A),stress concentration factor of specimens,AM environment,preheat temperature  (°C),layer thickness  (μm),elongation  (%),types of AM,Frequency,critical cross-section size of specimens (mm),load control,voltage  (V),Young's modulus  (GPa),powder feed rate  (g/s),power  (W),yield strength  (MPa),fatigue environment,R-value,size of feedstock  (μm),speed function,direciton of specimen  (°),fatigue temperature  (°C),log10(Cycles to Failure),Material_Code,Maximum Stress,Minimum Stress
20047.7986271102,233.965265298442,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,4.302066691340913,316L,519.9228117743155,51.99228117743155
50630.1872889772,215.90585444168,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,4.704409533912989,316L,479.79078764817774,47.97907876481778
94372.3433486402,197.999439024724,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,4.974844739098008,316L,439.9987533882756,43.999875338827565
152595.813892063,180.016661433307,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,5.1835426199326635,316L,400.0370254073489,40.00370254073489
270549.972139877,161.845026295282,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,5.432247493546744,316L,359.65561398951553,35.96556139895156
973129.914102495,143.924556389289,100.0,90.0,,powder,656.0,800.0,simple hatch,,1.0,N2,25.0,50.0,48.2,L-PBF,10.0,3.0,force,,,,250.0,490.0,air,0.1,45.9,,0.0,25.0,5.988170823014015,316L,319.8323475317533,31.983234753175335
83135.1772792321,233.68104443762,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,4.919784827221349,316L + Nitrogen,519.2912098613778,51.929120986137775
150230.155204036,216.058884703939,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,5.17675711591877,316L + Nitrogen,480.13085489764217,48.01308548976422
238948.941609534,197.885079294769,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,5.3783051112152265,316L + Nitrogen,439.74462065504224,43.97446206550423
290290.945354798,179.884680426783,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,5.462833489693971,316L + Nitrogen,399.74373428174,39.974373428174005
400571.67133967,161.870979499823,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,5.602680232486545,316L + Nitrogen,359.71328777738444,35.97132877773844
765621.869267453,144.12598761416,100.0,90.0,,powder,714.0,800.0,simple hatch,,1.0,N2,25.0,50.0,42.4,L-PBF,10.0,3.0,force,,,,250.0,569.0,air,0.1,47.4,,0.0,25.0,5.884014330158717,316L + Nitrogen,320.2799724759111,32.02799724759111
14289.3713698406,403.214603447377,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.155013123359581,Ti-6Al-4V,403.214603447377,-403.214603447377
27333.0865309639,368.095592037229,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.436688676247308,Ti-6Al-4V,368.095592037229,-368.095592037229
37580.3335060875,368.095592037229,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.57496062992126,Ti-6Al-4V,368.095592037229,-368.095592037229
65344.3196918928,309.024582529694,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.815207840827245,Ti-6Al-4V,309.024582529694,-309.024582529694
67384.0738704338,308.889990032309,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.828557263783211,Ti-6Al-4V,308.889990032309,-308.889990032309
98599.7390437402,308.98373383029,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,4.9938757655293085,Ti-6Al-4V,308.98373383029,-308.98373383029
263676.485581847,267.868453612055,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,5.421071401551524,Ti-6Al-4V,267.868453612055,-267.868453612055
287957.364474799,267.868453612055,,,,powder,1002.0,,,,1.0,,,60.0,16.0,L-PBF,60.0,2.5,force,,,,,926.0,air,-1.0,,,90.0,25.0,5.459328190036851,Ti-6Al-4V,267.868453612055,-267.868453612055
12632.4420340365,309.148156309129,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.10148731408574,Ti-6Al-4V,309.148156309129,-309.148156309129
15451.7039269415,308.856551927907,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.1889763779527565,Ti-6Al-4V,308.856551927907,-308.856551927907
26512.2794731925,229.635101196632,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.423447069116361,Ti-6Al-4V,229.635101196632,-229.635101196632
35860.8858340719,229.635101196632,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.554621013282429,Ti-6Al-4V,229.635101196632,-229.635101196632
45858.233661428,191.824863347614,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.661417322834645,Ti-6Al-4V,191.824863347614,-191.824863347614
54101.3807311666,191.824863347614,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.7332083489563805,Ti-6Al-4V,191.824863347614,-191.824863347614
79637.3448816562,191.824863347614,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.9011167721681845,Ti-6Al-4V,191.824863347614,-191.824863347614
85977.1811252588,152.814300487517,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,4.934383202099737,Ti-6Al-4V,152.814300487517,-152.814300487517
106444.103798723,152.814300487517,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,5.027121609798776,Ti-6Al-4V,152.814300487517,-152.814300487517
140558.307134929,152.814300487517,,,,powder,1246.0,,,,1.0,,,60.0,11.0,L-PBF,60.0,2.5,force,,,,,1086.0,air,-1.0,,,90.0,25.0,5.147856517935259,Ti-6Al-4V,152.814300487517,-152.814300487517
47948.4029600438,309.144455524916,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.680774146497485,Ti-6Al-4V,309.144455524916,-309.144455524916
47954.5040511931,268.038833621122,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.680829403846942,Ti-6Al-4V,268.038833621122,-268.038833621122
51422.6020356225,268.057786498107,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.711154048602471,Ti-6Al-4V,268.057786498107,-268.057786498107
60153.3987028751,229.980301628598,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.779260170266138,Ti-6Al-4V,229.980301628598,-229.980301628598
76317.7081544222,309.144455524916,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.882625319887433,Ti-6Al-4V,309.144455524916,-309.144455524916
80433.6681750058,229.980301628598,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,4.905437875140901,Ti-6Al-4V,229.980301628598,-229.980301628598
134842.040862659,267.699110091805,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,5.129825317037036,Ti-6Al-4V,267.699110091805,-267.699110091805
182409.696106534,230.063692665687,,,,powder,960.0,,,,1.0,,,60.0,18.0,L-PBF,60.0,2.5,force,,,,,860.0,air,-1.0,,,90.0,25.0,5.26104791981281,Ti-6Al-4V,230.063692665687,-230.063692665687
27539.8970477538,350.016629524322,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,4.439962312403258,316L,350.016629524322,-350.016629524322
27801.7919895904,350.065322939851,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,4.444072789662996,316L,350.065322939851,-350.065322939851
30277.1796693503,349.916037904145,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,4.481115418018116,316L,349.916037904145,-349.916037904145
70246.524605721,299.62496826423,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,4.846624842713857,316L,299.62496826423,-299.62496826423
88904.6775673905,299.906969631865,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,4.948924611231913,316L,299.906969631865,-299.906969631865
125396.120862196,249.875917676766,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.098284101772205,316L,249.875917676766,-249.875917676766
131132.645450487,249.875917676766,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.117710822689981,316L,249.875917676766,-249.875917676766
170306.424773856,250.248955726047,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.2312310319391235,316L,250.248955726047,-250.248955726047
325612.636791563,199.57354896959,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.512701251199808,316L,199.57354896959,-199.57354896959
450376.506395143,199.946587018871,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.6535757277379055,316L,199.946587018871,-199.946587018871
478147.931866783,199.712326822733,,,,powder,573.0,,,,1.0,,,60.0,46.0,L-PBF,60.0,2.5,force,,,,,453.0,air,-1.0,,,90.0,25.0,5.679562281662409,316L,199.712326822733,-199.712326822733
33152.4558794821,349.85688033292,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,4.520515705754405,316L,349.85688033292,-349.85688033292
35010.9147896682,349.727015413994,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,4.544203458463252,316L,349.727015413994,-349.727015413994
71289.747760633,299.607854831735,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,4.853027078082901,316L,299.607854831735,-299.607854831735
81170.7651557844,299.709692056441,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,4.909399639861016,316L,299.709692056441,-299.709692056441
107453.46096194,299.922655871112,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.031220408217096,316L,299.922655871112,-299.922655871112
135657.698398102,249.85014985015,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.132444444444444,316L,249.85014985015,-249.85014985015
149669.307633385,249.85014985015,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.17513274962767,316L,249.85014985015,-249.85014985015
251479.748076724,200.152823663332,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.400503016617932,316L,200.152823663332,-200.152823663332
332024.846938323,199.945008257224,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.521170585163163,316L,199.945008257224,-199.945008257224
