Cycles to Failure,Stress Amplitude,ingot shape,Frequency,stress concentration factor of specimens,fatigue environment,atomic-level structure,critical cross-section size of specimens (mm),type of the material,surface treatment,R-value,Young's modulus  (GPa),grain size (μm),ultimate tensile strength  (MPa),elongation  (%),load control,fatigue temperature  (°C),glass transition temperature (°C),yield strength  (MPa),log10(Cycles to Failure),Material_Code,Maximum Stress,Minimum Stress,Ca,Zn,Mg,Zr,Cu,Al,Ni,Ti,Be,Nb,Ag,Co,Fe,B1,Si,B2,Sr,Pd,Er,Cr,Mn,C0
7031.89102943937,98.7413029353753,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,3.8470721320202292,Dataset ID 1,219.42511763416732,21.942511763416732,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18645.4588121336,81.5021728786678,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,4.2705730745906605,Dataset ID 1,181.1159397303729,18.11159397303729,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55361.2553330496,107.987179998976,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,4.743205929317835,Dataset ID 1,239.97151110883556,23.997151110883557,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141498.270372292,90.1060552268245,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,5.15075113122172,Dataset ID 1,200.2356782818322,20.02356782818322,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270615.670227667,67.4754019191443,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,5.432352941176472,Dataset ID 1,149.94533759809846,14.994533759809848,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706488.61909136,71.9695009773485,rectangular,10.0,1.0,air,amorphous,4.0,metallic glass,machine; polish,0.1,,0.0,,,force,25.0,91.0,,5.849105170139804,Dataset ID 1,159.93222439410778,15.99322243941078,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028.11953086952,300.018386178601,circular,1.3,1.0,air,amorphous,1.2,metallic glass,,0.5,90.0,0.0,,,force,25.0,,,3.307093547341411,Dataset ID 3,1200.073544714404,600.036772357202,0.0,0.0,0.0,55.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5537.33970221505,249.817385866166,circular,1.3,1.0,air,amorphous,1.2,metallic glass,,0.5,90.0,0.0,,,force,25.0,,,3.743301167230927,Dataset ID 3,999.269543464664,499.634771732332,0.0,0.0,0.0,55.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15935.851911529,200.270927101459,circular,1.3,1.0,air,amorphous,1.2,metallic glass,,0.5,90.0,0.0,,,force,25.0,,,4.202375285292436,Dataset ID 3,801.083708405836,400.541854202918,0.0,0.0,0.0,55.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3299.96180058328,499.981964534286,circular,1.3,1.0,air,amorphous,1.2,metallic glass,,0.5,90.0,0.0,,,force,25.0,,,3.518508912637914,Dataset ID 4,1999.927858137144,999.963929068572,0.0,0.0,0.0,55.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
