Cycles to Failure,Stress Amplitude,ingot shape,Frequency,stress concentration factor of specimens,fatigue environment,atomic-level structure,critical cross-section size of specimens (mm),type of the material,surface treatment,R-value,Young's modulus  (GPa),grain size (μm),ultimate tensile strength  (MPa),elongation  (%),load control,fatigue temperature  (°C),glass transition temperature (°C),yield strength  (MPa),log10(Cycles to Failure),Material_Code,Maximum Stress,Minimum Stress,Ca,Zn,Mg,Zr,Cu,Al,Ni,Ti,Be,Nb,Ag,Co,Fe,B1,Si,B2,Sr,Pd,Er,Cr,Mn,C0
2028.11953086952,300.018386178601,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,3.30709354734141,Dataset ID 3,1200.0735447144,600.036772357202,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5537.33970221505,249.817385866166,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,3.74330116723093,Dataset ID 3,999.269543464664,499.634771732332,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15935.851911529,200.270927101459,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,4.20237528529244,Dataset ID 3,801.083708405836,400.541854202918,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3299.96180058328,499.981964534286,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,3.51850891263791,Dataset ID 4,1999.92785813714,999.963929068572,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104.13062551056,449.688729145921,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,3.78562381874293,Dataset ID 4,1798.75491658368,899.377458291842,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8203.68010454874,424.95009723543,circular,1.3,1,air,amorphous,1.2,metallic glass,,0.5,90,0,,,force,25,,,3.91400871708663,Dataset ID 4,1699.80038894172,849.90019447086,0,0,0,55,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16923.8074085624,327.185500628806,rectangular,10,1,air,amorphous + 50 vol.% Zr71Ti16.3Nb10Cu1.8Ni0.9,3.5,metallic glass,machine,0.1,,0,1523,,force,25,,,4.22849807445443,Dataset ID 10,727.078890286236,72.7078890286236,0,0,0,56.2,6.9,0,5.6,13.8,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0
27738.7191029021,285.321216068884,rectangular,10,1,air,amorphous + 50 vol.% Zr71Ti16.3Nb10Cu1.8Ni0.9,3.5,metallic glass,machine,0.1,,0,1523,,force,25,,,4.44308640268589,Dataset ID 10,634.047146819742,63.4047146819742,0,0,0,56.2,6.9,0,5.6,13.8,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0
54704.6062595771,245.141294708596,rectangular,10,1,air,amorphous + 50 vol.% Zr71Ti16.3Nb10Cu1.8Ni0.9,3.5,metallic glass,machine,0.1,,0,1523,,force,25,,,4.73802389651427,Dataset ID 10,544.758432685769,54.4758432685769,0,0,0,56.2,6.9,0,5.6,13.8,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0
136283.156627745,204.524613671956,rectangular,10,1,air,amorphous + 50 vol.% Zr71Ti16.3Nb10Cu1.8Ni0.9,3.5,metallic glass,machine,0.1,,0,1523,,force,25,,,5.1344421842599,Dataset ID 10,454.499141493236,45.4499141493236,0,0,0,56.2,6.9,0,5.6,13.8,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0
