Data source,Material_Code,Sequence,Resin Type,Fibre Volume Fraction,Fibre Weight Fraction,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log(Cycles to Failure)
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,56.0,,100.0,0.0,0.0,0.0,1.2000000476837158,,,,,,,,,862.0,86.19999694824219,0.6000000238418579,,0.10000000149011612,1.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,11.0,1.0413926839828491
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,53.0,,100.0,0.0,0.0,0.0,1.1699999570846558,,,,,,,,,793.0,79.30000305175781,0.5299999713897705,,0.10000000149011612,1.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,160.0,2.204119920730591
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,53.0,,100.0,0.0,0.0,0.0,1.2400000095367432,,,,,,,,,690.0,69.0,0.41999998688697815,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,563.0,2.7505083084106445
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,56.0,,100.0,0.0,0.0,0.0,1.2599999904632568,,,,,,,,,690.0,69.0,0.47999998927116394,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,680.0,2.8325088024139404
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,53.0,,100.0,0.0,0.0,0.0,1.2200000286102295,,,,,,,,,621.0,62.099998474121094,0.4099999964237213,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,4130.0,3.615950107574463
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,56.0,,100.0,0.0,0.0,0.0,1.2400000095367432,,,,,,,,,621.0,62.099998474121094,0.4300000071525574,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,7528.0,3.8766796588897705
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,52.0,,100.0,0.0,0.0,0.0,1.2200000286102295,,,,,,,,,690.0,69.0,0.46000000834465027,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,9768.0,3.9898056983947754
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,52.0,,100.0,0.0,0.0,0.0,1.2400000095367432,,,,,,,,,552.0,55.20000076293945,0.4099999964237213,,0.10000000149011612,3.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,77843.0,4.891219615936279
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,54.0,,100.0,0.0,0.0,0.0,1.2200000286102295,,,,,,,,,552.0,55.20000076293945,0.4000000059604645,,0.10000000149011612,2.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,115530.0,5.062694549560547
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,Epoxy,54.0,,100.0,0.0,0.0,0.0,1.1699999570846558,,,,,,,,,552.0,55.20000076293945,0.4000000059604645,,0.10000000149011612,3.0,909.1666870117188,,131.4166717529297,,0.6800000071525574,,394498.0,5.596045017242432
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,43.0,,100.0,0.0,0.0,0.0,0.9300000071525574,,,,,,,,,621.0,62.099998474121094,0.5899999737739563,,0.10000000149011612,2.5,957.2000122070312,,78.9800033569336,,0.8920000195503235,,1333.0,3.1248302459716797
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,47.0,,100.0,0.0,0.0,0.0,1.0,,,,,,,,,586.0,58.599998474121094,0.49000000953674316,,0.10000000149011612,2.0,957.2000122070312,,78.9800033569336,,0.8920000195503235,,2296.0,3.3609719276428223
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,49.0,,100.0,0.0,0.0,0.0,1.0499999523162842,,,,,,,,,586.0,58.599998474121094,0.49000000953674316,,0.10000000149011612,2.0,957.2000122070312,,78.9800033569336,,0.8920000195503235,,7387.0,3.8684680461883545
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,58.0,,100.0,0.0,0.0,0.0,0.9900000095367432,,,,,,,,,621.0,62.099998474121094,0.44999998807907104,,0.10000000149011612,2.5,957.2000122070312,,78.9800033569336,,0.8920000195503235,,12770.0,4.1061906814575195
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,50.0,,100.0,0.0,0.0,0.0,1.0399999618530273,,,,,,,,,586.0,58.599998474121094,0.47999998927116394,,0.10000000149011612,2.0,957.2000122070312,,78.9800033569336,,0.8920000195503235,,28180.0,4.449941158294678
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,Epoxy,50.0,,100.0,0.0,0.0,0.0,1.0700000524520874,,,,,,,,,621.0,62.099998474121094,0.5,,0.10000000149011612,2.5,957.2000122070312,,78.9800033569336,,0.8920000195503235,,128006.0,5.107230186462402
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,2069.0,207.0,1.399999976158142,,0.10000000149011612,1.0,2215.166748046875,-1505.375,141.6666717529297,131.75,,,43.0,1.633468508720398
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,2069.0,207.0,1.399999976158142,,0.10000000149011612,1.0,2215.166748046875,-1505.375,141.6666717529297,131.75,,,77.0,1.8864907026290894
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,2069.0,207.0,1.399999976158142,,0.10000000149011612,1.0,2215.166748046875,-1505.375,141.6666717529297,131.75,,,203.0,2.3074960708618164
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1896.0,190.0,1.2000000476837158,,0.10000000149011612,1.0,2215.166748046875,-1505.375,141.6666717529297,131.75,,,270.0,2.431363821029663
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1724.0,172.0,1.100000023841858,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,3139.0,3.496791362762451
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1724.0,172.0,1.100000023841858,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,3844.0,3.5847833156585693
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1724.0,172.0,1.100000023841858,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,4050.0,3.607455015182495
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1724.0,172.0,1.100000023841858,,0.10000000149011612,1.0,2215.166748046875,-1505.375,141.6666717529297,131.75,,,6424.0,3.8078055381774902
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1379.0,138.0,0.8999999761581421,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,159714.0,5.203342914581299
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1379.0,138.0,0.8999999761581421,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,171529.0,5.234337329864502
SNL/MSU/DOE,Zoltek PX35[0],0,Epoxy,62.0,,100.0,0.0,0.0,0.0,1.7799999713897705,,,,,,,,,1379.0,138.0,0.8999999761581421,,0.10000000149011612,1.5,2215.166748046875,-1505.375,141.6666717529297,131.75,,,283219.0,5.452122211456299
