Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fibre Volume Fraction,Fibre Weight Fraction,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log(Cycles to Failure)
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,483,48.2999992370606,2.20000004768372,0.219999998807907,0.100000001490116,1,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,86,1.9344984292984
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.85000002384186,0.185000002384186,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,2102,3.32263278961182
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.74000000953674,0.17399999499321,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,1045,3.01911640167236
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,345,34.5,1.48000001907349,0.148000001907349,0.100000001490116,4,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,36290,4.55978679656982
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,345,34.5,1.66999995708466,0.166999995708466,0.100000001490116,5,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,43703,4.64051103591919
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,345,34.5,1.42999994754791,0.14300000667572,0.100000001490116,5,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,28269,4.45131063461304
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,276,27.6000003814697,1.24000000953674,0.123999997973442,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,857025,5.93299341201782
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,276,27.6000003814697,1.22000002861023,0.122000001370907,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,357553,5.55334043502808
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,276,27.6000003814697,1.17999994754791,0.118000000715256,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,481129,5.68226146697998
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,414,41.4000015258789,1.58000004291534,0.158000007271767,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,8157,3.91153049468994
