Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fibre Volume Fraction,Fibre Weight Fraction,Fibre Weight Fraction (0-deg),Fibre Weight Fraction (45-deg),Fibre Weight Fraction (90-deg),Fibre Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,56,,100,0,0,0,1.2,,,,,,862,86.2,0.6,,0.1,1,909.166666666667,,131.416666666667,,0.68,,11,1.04139268515823
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,53,,100,0,0,0,1.17,,,,,,793,79.3,0.53,,0.1,1,909.166666666667,,131.416666666667,,0.68,,160,2.20411998265593
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,53,,100,0,0,0,1.24,,,,,,690,69,0.42,,0.1,2,909.166666666667,,131.416666666667,,0.68,,563,2.75050839485135
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,56,,100,0,0,0,1.26,,,,,,690,69,0.48,,0.1,2,909.166666666667,,131.416666666667,,0.68,,680,2.83250891270624
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,53,,100,0,0,0,1.22,,,,,,621,62.1,0.41,,0.1,2,909.166666666667,,131.416666666667,,0.68,,4130,3.6159500516564
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,56,,100,0,0,0,1.24,,,,,,621,62.1,0.43,,0.1,2,909.166666666667,,131.416666666667,,0.68,,7528,3.8766796104192
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,52,,100,0,0,0,1.22,,,,,,690,69,0.46,,0.1,2,909.166666666667,,131.416666666667,,0.68,,9768,3.98980565093683
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,52,,100,0,0,0,1.24,,,,,,552,55.2,0.41,,0.1,3,909.166666666667,,131.416666666667,,0.68,,77843,4.89121956490597
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,54,,100,0,0,0,1.22,,,,,,552,55.2,0.4,,0.1,2,909.166666666667,,131.416666666667,,0.68,,115530,5.06269477334239
SNL/MSU/DOE,LCCF-T20[0]5,0/0/0/0/0,EP,UNK,UNK,54,,100,0,0,0,1.17,,,,,,552,55.2,0.4,,0.1,3,909.166666666667,,131.416666666667,,0.68,,394498,5.59604480579344
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,43,,100,0,0,0,0.93,,,,,,621,62.1,0.59,,0.1,2.5,957.2,,78.98,,0.892,,1333,3.12483014941386
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,47,,100,0,0,0,1,,,,,,586,58.6,0.49,,0.1,2,957.2,,78.98,,0.892,,2296,3.36097188372594
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,49,,100,0,0,0,1.05,,,,,,586,58.6,0.49,,0.1,2,957.2,,78.98,,0.892,,7387,3.86846809902099
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,58,,100,0,0,0,0.99,,,,,,621,62.1,0.45,,0.1,2.5,957.2,,78.98,,0.892,,12770,4.10619089726342
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,50,,100,0,0,0,1.04,,,,,,586,58.6,0.48,,0.1,2,957.2,,78.98,,0.892,,28180,4.44994098877334
SNL/MSU/DOE,LCCF-K20[0]5,0/0/0/0/0,EP,UNK,UNK,50,,100,0,0,0,1.07,,,,,,621,62.1,0.5,,0.1,2.5,957.2,,78.98,,0.892,,128006,5.10723032672459
SNL/MSU/DOE,Zoltek PX35[0],0,EP,UNK,UNK,62,,100,0,0,0,1.78,,,,,,2069,206.9,1.4,,0.1,1,2215.16666666667,-1505.375,141.666666666667,131.75,,,43,1.63346845557959
SNL/MSU/DOE,Zoltek PX35[0],0,EP,UNK,UNK,62,,100,0,0,0,1.78,,,,,,2069,206.9,1.4,,0.1,1,2215.16666666667,-1505.375,141.666666666667,131.75,,,77,1.88649072517248
SNL/MSU/DOE,Zoltek PX35[0],0,EP,UNK,UNK,62,,100,0,0,0,1.78,,,,,,2069,206.9,1.4,,0.1,1,2215.16666666667,-1505.375,141.666666666667,131.75,,,203,2.30749603791321
