Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
OptiMat,1016S3200MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,UNK,,,,,,,7.944,2.0,25.314,610.0,500.0,201.09,165.491,16.5491,,,0.1,6.1,366.2256666666667,,28.86,,1.3658,,31752.0,4.501771085899107
OptiMat,1017S0300MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,,,,,,,6.78,2.0,24.56,610.0,500.0,166.52,460.425174153255,46.04251741532551,1.8556,,0.1,2.11,480.475,,26.73,,1.742,,100.0,2.0
OptiMat,104R0390UD3,0/0/0/0/0/0/0,EP,UNK,Load,53.73,72.75,,,,,6.22666666666667,2.0,25.52,145.0,35.0,158.904533333333,17.6898666201258,-17.6898666201258,,,-1.0,5.89,55.6812308270626,-167.4759496822981,13.83361538461539,15.008,0.4217538461538461,-1.95249,1507006.0,6.178114981419943
OptiMat,108R0390UD3,0/0/0/0/0/0/0,EP,UNK,Load,56.66,74.69,,,,,6.32,2.0,25.1066666666667,145.0,35.0,158.674133333333,14.9992941508635,-14.9992941508635,0.0944326,,-1.0,5.0,50.2917509764246,,15.23,15.54,0.4496039832166667,,448772.0,5.652025752381707
OptiMat,109R0390UD3,0/0/0/0/0/0/0,EP,UNK,Load,54.75,73.21,,,,,6.3,2.0,25.12,145.0,35.0,158.256,19.9992417349105,1.99992417349105,0.136,,0.1,8.2,,-160.8355889869937,14.4,15.01944444444444,,-2.02603125,1347843.0,6.129639307477761
OptiMat,112R0390UD3,0/0/0/0/0/0/0,EP,UNK,Load,55.05,73.68,,,,,6.26666666666667,2.0,24.9666666666667,145.0,35.0,156.457777777778,46.9263983183251,-46.9263983183251,0.33229014286,,-1.0,0.84,53.95476862543485,,14.64,14.88,,,545.0,2.736396502276643
OptiMat,113R0300UD2,0/0/0/0,EP,UNK,Load,52.38,,,,,,3.6175,2.0,25.605,145.0,35.0,92.608,229.893745680719,22.9893745680719,,,0.1,9.93,1038.321244237809,,40.355,40.545,2.79444325,,2909837.0,6.463868661843904
OptiMat,119D0200MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Displacement,54.42,72.95,,,,,6.41,2.0,25.13,280.0,80.0,161.0833,445.5,44.55,1.5,,0.1,14.9162946428571,,,0.670407781518893,29.7,,,3400.0,3.531478917042255
OptiMat,120R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,54.59,,,,,,6.3575,2.0,25.49,150.0,40.0,161.9891,278.05773647365,27.805773647365,,,0.1,3.34,683.9894223942358,,31.45,,3.078333333333333,,14413.0,4.158754386632288
OptiMat,122R0310UD3,0/0/0/0/0/0/0,EP,UNK,Load,56.59,74.36,,,,,6.16666666666667,2.0,25.11,145.0,35.0,154.845,282.917110659046,28.2917110659046,0.9194106667,,0.1,1.5,393.935375595338,-379.0023725327674,36.71,36.262,1.565,-1.46634,1033.0,3.014100321519621
