,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.6548155,0.4287833,0.459158,0.13480633,0.849519312842917,0.6844765,0.46850806,0.52287906,0.12260186,0.8039774019196259,0.8813909,0.7768499,0.6811073,0.188597,0.7065658610415678
1,AutoGluon,WeightedEnsemble_L2,0.57092357,0.32595375,0.39764884,0.11398467,0.8856071446568629,0.70684725,0.499633,0.53662807,0.12145352,0.7909548168174595,0.8496402,0.7218885,0.6473695,0.17663467,0.7273260903611776
2,Pytorch-Tabular,TabTransformerModel,0.5168262,0.2671093,0.31349033,0.08378533,0.9062585067033481,0.7068513,0.4996388,0.48279786,0.1083752,0.7909524074799177,0.7692848,0.5917991,0.5664443,0.15407623,0.7764638265037827
3,Pytorch-Tabular,AutoIntModel,0.6884539,0.4739688,0.4962583,0.13897704,0.8336615725962451,0.7406565,0.548572,0.55461407,0.13391292,0.7704788654012307,0.7699679,0.5928506,0.60255307,0.15876132,0.7760666357087727
4,Pytorch-Tabular,CategoryEmbeddingModel,0.6139583,0.37694478,0.42179212,0.110738285,0.8677119388142548,0.75211126,0.5656713,0.5804181,0.13166451,0.7633245734486285,0.7857358,0.6173807,0.5796617,0.15777148,0.7668010834039553
5,This work,--,0.6566122,0.4311396,0.45805892,0.13015522,0.8486924063586055,0.75300574,0.5670177,0.53318167,0.123131834,0.7627612688885211,0.84967285,0.721944,0.637196,0.17154498,0.727305087954546
6,AutoGluon,LightGBMXT_BAG_L1/T0,0.58457214,0.3417246,0.42384976,0.11952387,0.8800724038682772,0.7538597,0.5683045,0.57882667,0.13327128,0.7622228453621627,0.904247,0.8176626,0.68495834,0.18574026,0.6911499834845424
7,AutoGluon,CatBoost_BAG_L1/T0,0.39856145,0.15885124,0.3066973,0.08629407,0.944251468936224,0.77303225,0.5975788,0.58337164,0.13522315,0.749974575162328,0.9023539,0.8142425,0.6935436,0.18901256,0.6924418155401604
8,AutoGluon,LightGBM_BAG_L1/T0,0.56314486,0.31713212,0.40187714,0.11427298,0.8887030949308462,0.7935382,0.6297029,0.6273878,0.14617504,0.7365338630539694,0.8913736,0.79454684,0.689206,0.19037843,0.6998812626779585
9,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.33269072,0.110683106,0.23751919,0.06731638,0.9611559761610795,0.7984411,0.6375082,0.6122958,0.1403373,0.7332681816560978,0.9369243,0.8778271,0.72182614,0.1971611,0.6684244137593183
10,AutoGluon,LightGBMLarge_BAG_L1,0.32134056,0.10325976,0.23307693,0.06684462,0.9637611897480115,0.7998821,0.6398114,0.6311331,0.14827596,0.7323045359494678,0.9031339,0.8156509,0.7004285,0.19015546,0.691909816133528
11,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.63728184,0.40612817,0.44077426,0.120071106,0.8574700988184201,0.8034566,0.6455425,0.559296,0.12676142,0.7299066558068619,0.8902521,0.79254884,0.6480049,0.16486196,0.7006359996428759
12,AutoGluon,RandomForestMSE_BAG_L1/T0,0.3360752,0.11294654,0.24375959,0.06912258,0.9603616263580341,0.8123581,0.6599257,0.6425844,0.14676341,0.7238887544800874,0.92620105,0.8578484,0.7304671,0.19641115,0.6759708462232881
13,AutoGluon,XGBoost_BAG_L1/T0,0.2534361,0.064229846,0.19101548,0.047829058,0.977458658657741,0.84276885,0.7102594,0.61330146,0.13389817,0.702829283811909,0.95306623,0.90833527,0.71348035,0.18266189,0.6569007664233031
14,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,1.065382,1.1350387,0.8107885,0.18974607,0.5251027041659817,1.1715555,1.3725424,0.890458,0.2509495,0.48155909068177694
15,AutoGluon,KNeighborsUnif_BAG_L1/T0,1.1207213,1.2560164,0.8457386,0.23560975,0.55920347219525,1.1424246,1.3051339,0.91017765,0.21612434,0.4539353041201154,1.2601858,1.5880684,1.0313195,0.2853522,0.4001498960625387
16,Pytorch-Tabular,TabNetModel,1.3214421,1.7462094,1.0942485,0.32587668,0.38717118812985263,1.2904943,1.6653755,1.0863807,0.27002564,0.30321114001715654,1.2765738,1.6296406,1.0101016,0.2774684,0.3844471098390345
17,TabNet,TabNet,1.3449867,1.808989,1.0666918,0.27543023,0.36513876564291203,1.5160409,2.29838,1.2614224,0.27743724,0.03836366663165813,1.3919617,1.9375573,1.1778942,0.28305727,0.2681397136147766
