,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0013488532,1.819405e-06,0.00020731153,7.805884e-05,0.9999694820010526,0.009570189,9.158852e-05,0.0026312706,0.0009642167,0.9968015044459115,0.0062517007,3.908376e-05,0.0027172111,0.0009976324,0.9995504989378704
1,AutoGluon,WeightedEnsemble_L2,0.0013488532,1.819405e-06,0.00020731153,7.805884e-05,0.9999694820010526,0.009570189,9.158852e-05,0.0026312706,0.0009642167,0.9968015044459115,0.0062517007,3.908376e-05,0.0027172111,0.0009976324,0.9995504989378704
2,This work,--,0.015270248,0.00023318049,0.008295227,0.0031487534,0.9960887203936785,0.015992993,0.00025577584,0.009894981,0.0036682815,0.9910676797740543,0.015082765,0.00022748981,0.009001181,0.0034000014,0.9973836468745507
3,AutoGluon,CatBoost_BAG_L1/T0,0.010501682,0.00011028533,0.001804257,0.00077324285,0.9981501161595577,0.021452345,0.0004602031,0.0069120983,0.0028377266,0.9839285811592364,0.03167756,0.0010034678,0.011119962,0.0050631477,0.9884591475669581
4,AutoGluon,LightGBMLarge_BAG_L1,0.011886339,0.00014128505,0.0027729592,0.0011925134,0.9976301392025646,0.023647133,0.0005591869,0.008156821,0.00336868,0.9804718219222488,0.035188254,0.0012382132,0.0129643455,0.0058968216,0.9857593513172064
5,AutoGluon,XGBoost_BAG_L1/T0,0.012662591,0.00016034122,0.005482159,0.0021652288,0.9973104979660403,0.025344813,0.00064235955,0.010395705,0.0041413987,0.9775672279844303,0.03487099,0.001215986,0.01689941,0.007290373,0.9860149840117847
6,AutoGluon,LightGBM_BAG_L1/T0,0.017073631,0.00029150886,0.0069504045,0.0030611337,0.9951103426699716,0.025487792,0.00064962753,0.010041415,0.004112468,0.9773134111495793,0.043046,0.0018529581,0.02032402,0.0091262385,0.9786891886705242
7,AutoGluon,LightGBMXT_BAG_L1/T0,0.015682625,0.00024594474,0.006565537,0.0028215374,0.9958746181110875,0.026941335,0.0007258355,0.010918035,0.004398554,0.9746520427705816,0.041128617,0.0016915632,0.018753069,0.008406854,0.9805453875680062
8,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.018377373,0.00033772783,0.011141035,0.00434196,0.9943350834238953,0.027266335,0.00074345304,0.01463029,0.00575535,0.9740367959282135,0.04300588,0.0018495058,0.022233952,0.009543484,0.9787288931407191
9,Pytorch-Tabular,AutoIntModel,0.03726398,0.0013886042,0.02939443,0.010954802,0.9767080835465034,0.027959857,0.0007817536,0.021882007,0.008302623,0.9726992467435114,0.04039207,0.0016315193,0.030558411,0.011738995,0.9812359471657468
10,Pytorch-Tabular,CategoryEmbeddingModel,0.033454936,0.0011192327,0.02458091,0.009106486,0.9812264234326574,0.028444469,0.00080908777,0.021349747,0.007841548,0.9717446727876167,0.03420718,0.0011701311,0.025573736,0.009597141,0.9865423604672705
11,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.022386031,0.00050113443,0.0032790336,0.0015127586,0.991594163774335,0.039534524,0.0015629785,0.009760641,0.0042615514,0.9454169565907155,0.06720045,0.0045159003,0.021535125,0.010107197,0.9480627829791675
12,AutoGluon,RandomForestMSE_BAG_L1/T0,0.023767838,0.0005649101,0.0039316462,0.001770752,0.9905244156420316,0.041986775,0.0017628892,0.010801792,0.0046967203,0.9384355830683114,0.0708231,0.005015912,0.023192003,0.010836695,0.9423121567198154
13,Pytorch-Tabular,TabNetModel,0.042347442,0.0017933059,0.032678552,0.0129201915,0.9699197793089822,0.054400235,0.0029593855,0.039304405,0.015208883,0.8966510025868941,0.076909214,0.005915027,0.048862617,0.02057927,0.9319714623783184
14,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.045772683,0.0020951387,0.01201375,0.004810145,0.9648569476473461,0.07632104,0.005824902,0.024654776,0.010309794,0.7965801313012844,0.12968002,0.016816908,0.04670571,0.021117559,0.8065892694050063
15,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.17169474,0.029479083,0.13647854,0.052082404,0.5055291705694664,0.21029231,0.044222858,0.15829712,0.0596624,-0.5443706910287147,0.18922202,0.035804972,0.14982478,0.05905575,0.5882081271956705
16,TabNet,TabNet,0.31569272,0.0996619,0.25713223,0.09816197,-0.6716903822515039,0.35100085,0.1232016,0.2749234,0.10109316,-3.302502840763447,0.30646336,0.09391979,0.24587159,0.09506429,-0.08016845841089038
17,Pytorch-Tabular,TabTransformerModel,0.42195308,0.1780444,0.3997756,0.15017344,-1.9864480386362904,0.40800905,0.16647138,0.3851745,0.1422775,-4.813588875889398,0.42080188,0.17707422,0.3907345,0.14648345,-1.0365248603977677
