,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,WeightedEnsemble_L2,0.21531397,0.04636011,0.15668361,0.048744686,0.9691800738375125,0.67933387,0.4614945,0.49603176,0.14099576,0.6481068556320413,0.70723474,0.500181,0.5189075,0.1575927,0.6633517427456115
1,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.30284286,0.0917138,0.2173065,0.06871928,0.9390292045313018,0.68700606,0.4719773,0.5003472,0.14266331,0.6401136377607644,0.7140769,0.5099058,0.52861434,0.16042295,0.6568064559148283
2,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,0.7111856,0.5057849,0.5097489,0.14265184,0.6143350528125919,0.7375031,0.5439108,0.5456092,0.16273351,0.6339193126339502
3,AutoGluon,RandomForestMSE_BAG_L1/T0,0.31194746,0.09731122,0.22908852,0.07157814,0.9353080788692372,0.7169402,0.5140033,0.55190957,0.1539983,0.608068505894311,0.76649827,0.5875196,0.5667694,0.17294733,0.6045683337502649
4,AutoGluon,LightGBMLarge_BAG_L1,0.44464144,0.197706,0.32723764,0.10760291,0.8685662361594959,0.72707886,0.52864367,0.5639823,0.1583475,0.5969051002391799,0.8009756,0.6415619,0.6072548,0.18624315,0.5681949768969572
5,AutoGluon,CatBoost_BAG_L1/T0,0.5943668,0.35327187,0.45601398,0.14376557,0.7651469490938111,0.7360469,0.5417651,0.56652826,0.16263251,0.5868999145160674,0.7851806,0.6165086,0.6011165,0.18188214,0.58505720737411
6,AutoGluon,XGBoost_BAG_L1/T0,0.4093866,0.1675974,0.31188384,0.08744461,0.888582238216262,0.764301,0.584156,0.59194815,0.16153643,0.5545765587020135,0.76580286,0.58645403,0.57589775,0.17056838,0.6052855287075201
7,Pytorch-Tabular,TabTransformerModel,0.70176685,0.49247673,0.5075176,0.1632571,0.6726044149027597,0.78278685,0.61275524,0.5564976,0.16172023,0.5327693709946737,0.76951844,0.5921586,0.5618257,0.16103943,0.6014459896917843
8,AutoGluon,LightGBM_BAG_L1/T0,0.7045748,0.49642566,0.5198089,0.1670008,0.6699791937165799,0.7881536,0.6211861,0.6007966,0.17330967,0.5263407751431479,0.8494595,0.72158146,0.65295774,0.19994976,0.5143376316245052
9,AutoGluon,LightGBMXT_BAG_L1/T0,0.8061461,0.6498715,0.5998403,0.19114555,0.5679692995336288,0.79054046,0.6249542,0.6030534,0.17580186,0.5234675416622895,0.86536384,0.7488546,0.66817945,0.2000997,0.4959813673313197
10,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.85052323,0.7233898,0.66179204,0.20999576,0.5190947379286308,0.8048565,0.64779395,0.6140438,0.17986792,0.5060520694873194,0.90172106,0.8131009,0.70796084,0.21085314,0.4527402466010123
11,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.7026997,0.4937869,0.50661296,0.1533137,0.6717334248221644,0.8093747,0.6550874,0.59629685,0.17538516,0.5004907439816805,0.83349055,0.6947065,0.6431398,0.18982084,0.5324258790042
12,Pytorch-Tabular,TabNetModel,0.8914532,0.7946888,0.6634125,0.21188626,0.4716956405568904,0.8120359,0.6594023,0.5957933,0.17394511,0.4972005651349535,0.9066262,0.8219711,0.6865033,0.20278582,0.4467700072970796
13,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.79305106,0.62893,0.5662035,0.19044116,0.5818910924980649,0.81575805,0.66546124,0.6288435,0.18686052,0.49258061106606654,0.878261,0.7713424,0.6783466,0.20571156,0.48084585953780146
14,Pytorch-Tabular,CategoryEmbeddingModel,0.8211427,0.6742753,0.6192945,0.1915943,0.5517458203691672,0.8164396,0.66657364,0.61111814,0.17360212,0.49173246622987854,0.88965964,0.79149425,0.6939115,0.19843529,0.46728254461043783
15,This work,--,0.9396306,0.8829057,0.72245646,0.22939087,0.413049559629053,0.92175555,0.8496333,0.7252125,0.21057025,0.3521480310635505,0.9573425,0.9165047,0.77073175,0.22703719,0.3831440096276896
16,Pytorch-Tabular,AutoIntModel,1.4886056,2.2159467,1.0097642,0.29825842,-0.4731481267586344,1.1057899,1.2227713,0.87006646,0.23413521,0.06762742410556166,1.1352936,1.2888916,0.9183339,0.2581132,0.13250794783186282
17,TabNet,TabNet,1.4945114,2.2335644,1.2057825,0.30369937,-0.4848602726123483,1.3356631,1.783996,1.0749367,0.25433484,-0.3603108227638563,1.3546147,1.8349812,1.1194074,0.27475128,-0.23503924594819692
