,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,0.13858572,0.019206002,0.0938072,0.042010568,0.8463238229632019,0.2633252,0.06934017,0.1430342,0.06183179,0.07714047628804144
1,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.17566931,0.030859709,0.105941236,0.04582919,0.7395612613179002,0.16929136,0.028659564,0.10633588,0.048187643,0.7706814940849941,0.27752548,0.07702039,0.16059086,0.068589926,-0.025076877789291352
2,AutoGluon,RandomForestMSE_BAG_L1/T0,0.099386565,0.009877689,0.053363208,0.025074072,0.9166378129303048,0.24283543,0.05896905,0.13754879,0.056047432,0.5281611128595955,0.23046543,0.05311431,0.099114195,0.044101015,0.2930930854212256
3,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.10077105,0.010154803,0.053617027,0.025118396,0.914299121570427,0.24574009,0.06038819,0.12705697,0.051186565,0.5168059965740855,0.23090102,0.05331528,0.09643838,0.0428781,0.29041833837352216
4,AutoGluon,CatBoost_BAG_L1/T0,0.19192973,0.03683702,0.13837577,0.061771385,0.6891160915445433,0.2461759,0.06060257,0.184402,0.08091769,0.5150906650819553,0.25086915,0.06293534,0.16640201,0.06995599,0.16238342801746597
5,AutoGluon,LightGBMLarge_BAG_L1,0.17990099,0.03236437,0.12298304,0.05460281,0.7268627920418488,0.30319485,0.09192712,0.21392027,0.09435462,0.26444837651791164,0.2856611,0.08160227,0.1761579,0.07538471,-0.08605776783481578
6,AutoGluon,XGBoost_BAG_L1/T0,0.09021536,0.008138811,0.06535283,0.025759555,0.9313129651028172,0.30360308,0.09217483,0.18833616,0.074892245,0.2624662830984035,0.22517507,0.050703812,0.14040875,0.058296606,0.3251747650030342
7,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.15698345,0.024643805,0.106325306,0.041399356,0.7920200407374974,0.31078377,0.09658655,0.19189332,0.073142014,0.22716608804404614,0.23457846,0.055027056,0.15315038,0.06225957,0.2676359820987525
8,AutoGluon,LightGBM_BAG_L1/T0,0.3307805,0.10941575,0.22702207,0.10177479,0.07659212677608673,0.34516436,0.11913843,0.27364174,0.117710516,0.04671803725464152,0.273028,0.07454429,0.20900494,0.08316461,0.007877960445352383
9,Pytorch-Tabular,AutoIntModel,0.35874623,0.12869886,0.23717943,0.106555484,-0.08614653335837108,0.47135904,0.22217934,0.28307468,0.11905123,-0.7777602193635689,0.40100956,0.16080867,0.25802243,0.1025324,-1.140228482960342
10,AutoGluon,WeightedEnsemble_L2,0.15034585,0.022603875,0.110638514,0.048191577,0.8092358708564542,0.6845642,0.46862814,0.3127618,0.12116067,-2.7497112869330493,0.2135355,0.04559741,0.13741602,0.05649972,0.393136702154673
11,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.22747123,0.051743165,0.16041775,0.071809955,0.5633165460015497,1.076351,1.1585315,0.47835144,0.18751808,-8.269951233676784,0.22295237,0.049707755,0.15232837,0.062615834,0.3384315332201634
12,AutoGluon,LightGBMXT_BAG_L1/T0,2.106133,4.435796,2.0805075,0.7965265,-36.435641421529795,2.0975635,4.399772,2.068533,0.79620254,-34.204623937687096,2.12065,4.497156,2.102932,0.7888429,-58.853381814929556
13,Pytorch-Tabular,TabNetModel,0.28515992,0.08131617,0.21228963,0.088962466,0.31373681321438884,15.0408125,226.22603,5.174043,1.9795864,-1809.1396755829521,0.27110708,0.073499046,0.2150528,0.08367039,0.02178935900268464
14,This work,--,0.10815478,0.011697456,0.05818358,0.024205714,0.9012800040245005,43.157997,1862.6127,14.258608,5.4284315,-14902.629765707925,0.6117806,0.37427548,0.29330832,0.12880974,-3.9812927478723097
15,Pytorch-Tabular,CategoryEmbeddingModel,0.15398197,0.023710448,0.11527697,0.048588857,0.7998970378758612,50.231228,2523.1763,16.476116,6.25801,-20188.10699735484,0.46480528,0.21604393,0.2647665,0.11120412,-1.8753637268759835
16,Pytorch-Tabular,TabTransformerModel,0.52704734,0.27777892,0.41560295,0.16628386,-1.3442991761521945,67.89435,4609.642,22.424376,8.518078,-36882.89115778875,0.57611597,0.3319096,0.47249883,0.1822253,-3.417438402104305
17,TabNet,TabNet,7.148424,51.099968,3.069485,1.4582103,-430.2551976611443,133.30478,17770.164,44.91858,17.15285,-142186.36806877286,1.5919585,2.534332,1.0166463,0.39566582,-32.72983216616642
