,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,WeightedEnsemble_L2,0.2947219903696312,0.08686105160743698,0.22043413500910394,0.05717691844820856,0.949225540238799,0.5385532194301543,0.290039570158584,0.3856529972461817,0.09645000157309556,0.7912291913339794,0.6041792131023911,0.36503252154502447,0.42669425860976073,0.10730124211364836,0.7775549481727844
1,AutoGluon,LightGBM_BAG_L2/T0,0.3180639882784353,0.10116470063958463,0.23100620824620977,0.06138462729447245,0.9408643698548229,0.5395940976100118,0.2911617901755629,0.39601454904497907,0.09828467810747472,0.7904214161041452,0.6119339905174301,0.3744632087505863,0.43390821680813024,0.11007205132117381,0.7718080363761907
2,AutoGluon,RandomForestMSE_BAG_L2/T0,0.30419403078508356,0.09253400836527635,0.21302156538155723,0.05529431712280272,0.9459094243353244,0.541612670380601,0.29334428471680557,0.3920893702603501,0.09615345275712597,0.7888504540797728,0.6138330741604477,0.37679104293326576,0.43196275699977676,0.10842063423596864,0.7703894910005085
3,AutoGluon,LightGBMXT_BAG_L1/T0,0.2671715617134061,0.07138064338838036,0.19347378321515393,0.05034118475116135,0.9582745829300823,0.5426685673892093,0.29448917403225683,0.38495727424128995,0.09625777111247177,0.7880263614634131,0.6083157393934663,0.37004803879381964,0.4247195152950598,0.10697432753971103,0.774498571196765
4,AutoGluon,WeightedEnsemble_L3,0.2837374924913424,0.08050696464527458,0.2003475739384239,0.05149749091024879,0.9529398094861663,0.5469473319170782,0.29915138389121054,0.39165871415632086,0.0977356087739047,0.7846704975656275,0.5957571341597739,0.35492656290226693,0.4202194253804754,0.10480087888645555,0.7837133597152328
5,AutoGluon,LightGBMLarge_BAG_L2,0.3365454547756094,0.11326284313012172,0.24241387263497713,0.06446316473608797,0.9337924240551424,0.5470477678679313,0.29926126032928607,0.4001080873679774,0.09939820053170093,0.7845914083819763,0.6163496568630671,0.37988689951522053,0.4404287812288717,0.11249208630452057,0.7685029249079649
6,AutoGluon,ExtraTreesMSE_BAG_L2/T0,0.29798763169532927,0.08879662864339119,0.2092304927841803,0.054512644510293945,0.948094102425095,0.5480278131547844,0.3003344839912153,0.39374214593090745,0.0970307514861845,0.7838189007835891,0.6135330505988718,0.3764228041771578,0.4316598715452047,0.10828406081586289,0.7706138898810262
7,AutoGluon,CatBoost_BAG_L2/T0,0.27899398036637507,0.07783764108067327,0.20363438806173514,0.05400867200512363,0.9545001574144071,0.5484455844859181,0.30079255914210035,0.39628101258414583,0.09940254090290442,0.7834891777750086,0.6096823522108332,0.37171257059733454,0.4353391864925257,0.10955881028384262,0.7734842318120609
8,AutoGluon,LightGBMXT_BAG_L2/T0,0.28713048741192043,0.082443916801407,0.20800329235819473,0.05649441161507454,0.951807567848621,0.5498796389415268,0.30236761732246387,0.3988696086645951,0.09933609860381908,0.7823554491260841,0.610708776395313,0.3729652095662604,0.43643622209647426,0.11067210259332214,0.7727208934136517
9,AutoGluon,XGBoost_BAG_L2/T0,0.3105301178513791,0.09642895409279137,0.2136683307680043,0.053196472591820726,0.9436326413416353,0.553441924441538,0.306297963729553,0.40185173378811806,0.09825692856458357,0.77952638136372,0.618199362426939,0.3821704517050738,0.43567707126062294,0.10775197690438192,0.7671113642791418
10,AutoGluon,NeuralNetFastAI_BAG_L2/T0,0.28702044407574645,0.0823807353174387,0.20597467609218656,0.052775000358917724,0.9518445004629059,0.5583108338140852,0.311710987154179,0.3984470087318335,0.09941930756198099,0.77563008101729,0.5985978950981351,0.3583194400159179,0.4227370855891386,0.10441290041119357,0.7816457940030189
