,Program,Model,RMSE,MSE,MAE,MAPE,R2
0,AutoGluon,NeuralNetFastAI_BAG_L2/T0,0.5021675098305273,0.25217220792939266,0.3651277982427969,0.0914873450563235,0.8184861612374822
1,AutoGluon,LightGBMXT_BAG_L1/T0,0.5038956105507068,0.2539107863322695,0.3682948721011242,0.09049467108458606,0.8172347305485612
2,AutoGluon,WeightedEnsemble_L3,0.5088072382687646,0.2588848057146874,0.36532665318682156,0.09081633966701194,0.8136544258052462
3,AutoGluon,WeightedEnsemble_L2,0.5100656886650071,0.260167006753308,0.3700504578613035,0.09150310429935324,0.8127314960561817
4,AutoGluon,CatBoost_BAG_L1/T0,0.5158394288468795,0.2660903163530749,0.37833506230753566,0.09378658758546787,0.8084678911472156
5,AutoGluon,RandomForestMSE_BAG_L2/T0,0.5165583469971258,0.26683252585240297,0.3718999704923959,0.09088345289408988,0.8079336479151987
6,AutoGluon,CatBoost_BAG_L2/T0,0.5168644102614114,0.26714881859487655,0.37922548872332595,0.09428583369710321,0.8077059800435862
7,AutoGluon,NeuralNetMXNet_BAG_L2/T0,0.5186900250541122,0.26903934209063557,0.37953197071929673,0.09345746152451762,0.8063451791059904
8,AutoGluon,LightGBMXT_BAG_L2/T0,0.5194651804744799,0.269844073725384,0.37610358891271733,0.09282726470681694,0.8057659323706097
9,AutoGluon,ExtraTreesMSE_BAG_L2/T0,0.5253990622891552,0.27604417465432357,0.37549990734792016,0.09230502618465761,0.8013030927517332
10,AutoGluon,XGBoost_BAG_L2/T0,0.5302221217745586,0.28113549841911484,0.37875317846052,0.0925417602187578,0.7976383521821108
11,AutoGluon,LightGBM_BAG_L2/T0,0.5307409240190502,0.28168592842859513,0.3780221694336367,0.0945207093801956,0.797242152042487
12,AutoGluon,LightGBM_BAG_L1/T0,0.533773853409667,0.2849145265838047,0.3915370198920734,0.09694749307066122,0.7949182034607394
13,AutoGluon,LightGBMLarge_BAG_L2,0.5346032085160278,0.28580059055563156,0.38562975945612504,0.09604879647287229,0.794280413617695
14,AutoGluon,XGBoost_BAG_L1/T0,0.5383036305504079,0.28977079866375005,0.40301665874309683,0.0988993176153123,0.7914226533581169
15,AutoGluon,LightGBMLarge_BAG_L1,0.5627646780816591,0.3167040828963533,0.416447617688943,0.10280207517681933,0.7720360450887764
16,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.5845916664728239,0.3417474165094734,0.4517072021428645,0.11323229763821123,0.7540098254000446
17,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.5877603234068284,0.3454621977712995,0.44410195572454875,0.11133437871160541,0.7513359216715816
18,Pytorch-Tabular,TabTransformerModel,0.593951667867366,0.3527785837624258,0.4484237177353594,0.11411628897405045,0.7460695788100022
19,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.6010934807419067,0.361313372590421,0.44809984579605006,0.11096349120912402,0.7399262282167021
20,AutoGluon,RandomForestMSE_BAG_L1/T0,0.6071350943863246,0.36861302283549136,0.4535519798411956,0.11138054319567622,0.7346719317639484
21,This work,--,0.6136074066162109,0.3765140771865845,0.4576842784881592,0.1183478906750679,0.7289847412280386
22,Pytorch-Tabular,AutoIntModel,0.6526072852194951,0.42589626872155933,0.5055561748616836,0.12335290794504229,0.6934393869766627
23,AutoGluon,KNeighborsDist_BAG_L1/T0,0.7367572768032378,0.5428112849225227,0.5320235592074324,0.14675336253964666,0.6092838268779828
24,Pytorch-Tabular,TabNetModel,0.7933650635405931,0.6294281240467693,0.6316744824911805,0.16280605043252067,0.546936928700688
25,Pytorch-Tabular,NODEModel,0.798633301166407,0.637815149731953,0.6428272380619122,0.16638889487054928,0.5408999381837005
26,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.7987327648237625,0.637974029603012,0.6146191097973398,0.1658754284338669,0.5407855762738977
27,Pytorch-Tabular,CategoryEmbeddingModel,4.817896905503217,23.212130592057466,4.609400916406806,1.0084587497916608,-15.708117695511245
