,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,NeuralNetFastAI_BAG_L2/T0,0.2557018,0.06538342,0.18624416,0.047069408,0.9600904896638195,0.55668986,0.30990362,0.38876224,0.10087898,0.8122064378423917,0.59893185,0.35871935,0.41369677,0.11569958,0.7801454552387618
1,AutoGluon,CatBoost_BAG_L1/T0,0.17802937,0.031694457,0.14053315,0.03490717,0.980653962402628,0.57405436,0.3295384,0.40777513,0.10477307,0.8003082497950449,0.5792655,0.33554846,0.41697213,0.11636235,0.7943465990818079
2,AutoGluon,CatBoost_BAG_L2/T0,0.2526345,0.063824184,0.1833087,0.050321657,0.961042238300533,0.5780565,0.33414936,0.41652024,0.11098664,0.7975141289387768,0.5803105,0.33676028,0.41167182,0.11592585,0.7936038893471792
3,AutoGluon,LightGBMXT_BAG_L2/T0,0.2632349,0.06929261,0.18540576,0.052880347,0.9577043538244727,0.57854,0.33470854,0.41609085,0.1116901,0.7971752657973035,0.5794617,0.33577588,0.41298503,0.116665766,0.7942072270280349
4,AutoGluon,WeightedEnsemble_L3,0.25163603,0.06332069,0.17677186,0.048707806,0.9613495692675141,0.57996887,0.33636388,0.41278085,0.10974188,0.7961722185221698,0.5768555,0.33276224,0.40540138,0.114008285,0.7960542256519876
5,AutoGluon,LightGBMXT_BAG_L1/T0,0.22583027,0.050999314,0.15764117,0.04069189,0.9688704369380767,0.5828431,0.3397061,0.40720445,0.10544384,0.7941468813253567,0.5666177,0.32105565,0.40437272,0.10846224,0.80322906714396
6,AutoGluon,WeightedEnsemble_L2,0.20059168,0.040237024,0.14303829,0.037052266,0.975439649172293,0.5832505,0.3401812,0.40780085,0.10593471,0.7938589970363028,0.56436723,0.31851038,0.40207085,0.10860041,0.8047890109228018
7,AutoGluon,ExtraTreesMSE_BAG_L2/T0,0.25639033,0.065735996,0.17857464,0.047416113,0.9598752804392251,0.58347654,0.3404449,0.408123,0.10707427,0.7936991970486988,0.58295393,0.33983526,0.4065428,0.112748,0.7917192485663549
8,AutoGluon,NeuralNetMXNet_BAG_L2/T0,0.25538832,0.06522319,0.17614815,0.046083473,0.9601883028662147,0.5841045,0.34117803,0.41373086,0.10856809,0.7932549140328347,0.5990654,0.35887936,0.41667455,0.11708351,0.7800473801157664
9,AutoGluon,XGBoost_BAG_L2/T0,0.26598942,0.07075038,0.18625735,0.046105437,0.9568145472444974,0.5870651,0.34464544,0.41572773,0.10796366,0.7911537885419931,0.5902004,0.34833652,0.4094526,0.112129815,0.7865089447751555
10,AutoGluon,LightGBM_BAG_L2/T0,0.2895112,0.08381673,0.20677605,0.05656527,0.9488389508308569,0.5944238,0.35333964,0.423179,0.11166917,0.7858853010785258,0.58927995,0.34725085,0.4143898,0.11719793,0.7871743466324979
11,AutoGluon,RandomForestMSE_BAG_L2/T0,0.25743285,0.06627167,0.17794058,0.046371937,0.9595483173599261,0.5970466,0.35646465,0.41437384,0.10855501,0.7839916478231894,0.5841286,0.34120622,0.40179047,0.11226892,0.7908790276192218
12,AutoGluon,LightGBMLarge_BAG_L2,0.28530785,0.08140057,0.19981061,0.053141385,0.9503137517142762,0.6047789,0.36575747,0.42497924,0.11245024,0.7783604664899765,0.6005966,0.3607163,0.42027378,0.11865866,0.7789215420743609
13,AutoGluon,LightGBM_BAG_L1/T0,0.2156505,0.046505135,0.1512294,0.03951259,0.9716136446637084,0.61647177,0.38003746,0.4376881,0.11400799,0.7697071422989643,0.5849772,0.3421983,0.4234147,0.11759432,0.790270974131156
14,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.42511144,0.18071975,0.30554625,0.078635566,0.889690136798088,0.61674607,0.38037574,0.44580737,0.11669195,0.7695021416801694,0.6483974,0.42041916,0.45765445,0.1285144,0.7423304257246808
15,AutoGluon,XGBoost_BAG_L1/T0,0.10488596,0.011001064,0.08174498,0.020356644,0.9932850397664594,0.6180697,0.38201013,0.43786493,0.116419874,0.7685117381696346,0.58954954,0.34756866,0.42459816,0.11486726,0.7869795606413847
16,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.22879475,0.052347038,0.1747204,0.04623767,0.9680477944760507,0.63305664,0.40076068,0.45693398,0.12401292,0.7571494043355957,0.63286364,0.40051642,0.48206264,0.13374458,0.754528546162528
17,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.49056035,0.24064946,0.37973967,0.0964655,0.8531095183705689,0.6434931,0.41408336,0.45962968,0.12295975,0.749076188433129,0.71183395,0.50670755,0.50530916,0.14171079,0.6894453769524609
18,AutoGluon,LightGBMLarge_BAG_L1,0.12940237,0.016744971,0.091499306,0.02453112,0.9897790060258702,0.6498286,0.42227724,0.46538442,0.12370856,0.744110922966158,0.6282254,0.39466712,0.46703324,0.12839292,0.7581135069494738
19,AutoGluon,RandomForestMSE_BAG_L1/T0,0.2361186,0.055751994,0.1795613,0.046758994,0.9659694365320489,0.6674976,0.44555303,0.48184687,0.12811966,0.7300063930494751,0.63444304,0.40251794,0.4765456,0.12963492,0.7533018687182593
