,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,WeightedEnsemble_L2,0.0619927,0.0038430952,0.04464003,0.018959628,0.9827259101008102,0.0738102,0.005447945,0.058117993,0.02355539,0.9741002701838686,0.16533932,0.027337093,0.09061045,0.038588,0.889021275016121
1,AutoGluon,LightGBMLarge_BAG_L1,0.050223973,0.0025224476,0.032556813,0.014318992,0.988662005705312,0.07587283,0.005756686,0.059316214,0.024242489,0.97263250503352,0.17493479,0.03060218,0.096977234,0.041943267,0.8757662070775573
2,AutoGluon,RandomForestMSE_BAG_L1/T0,0.048210815,0.0023242827,0.029705409,0.0130509855,0.9895527255722696,0.07877788,0.0062059546,0.057560857,0.024067359,0.9704966626917324,0.18603139,0.03460768,0.10635271,0.047112513,0.8595053265602577
3,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.09930939,0.009862355,0.06511084,0.028657285,0.9556703069333441,0.08595048,0.0073874854,0.06843778,0.028293956,0.964879621485833,0.17656948,0.031176778,0.103635624,0.045074128,0.8734335503767485
4,AutoGluon,XGBoost_BAG_L1/T0,0.046059262,0.0021214555,0.03503229,0.0140155675,0.9904644006301162,0.08706458,0.0075802407,0.067422606,0.027584195,0.9639632574807565,0.17276792,0.029848756,0.09572894,0.040821027,0.8788248280496492
5,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.051901396,0.0026937549,0.030736491,0.013949912,0.9878920077857454,0.09510539,0.009045035,0.06527576,0.02841358,0.9569995765108366,0.17256168,0.02977753,0.090789266,0.039708484,0.8791139750720333
6,AutoGluon,CatBoost_BAG_L1/T0,0.043743193,0.0019134671,0.03179903,0.013640651,0.9913992743774829,0.104780756,0.010979007,0.07188077,0.031664826,0.9478054016299933,0.17927001,0.032137737,0.098275766,0.04380765,0.8695324055702786
7,AutoGluon,LightGBMXT_BAG_L1/T0,0.08688802,0.0075495285,0.06183178,0.026778243,0.9660660892598694,0.10718683,0.011489017,0.07784074,0.032852463,0.9453807902262031,0.18349454,0.033670247,0.10322788,0.044780012,0.8633109571501921
8,AutoGluon,LightGBM_BAG_L1/T0,0.07631443,0.0058238916,0.051780034,0.022417588,0.9738225494389141,0.12229323,0.014955633,0.08172082,0.035796635,0.9289003778664743,0.18911768,0.0357655,0.10672445,0.04675114,0.8548049982957859
9,Pytorch-Tabular,AutoIntModel,0.10894518,0.011869052,0.08678064,0.034814116,0.946650527182199,0.13424857,0.018022677,0.11187323,0.04470584,0.914319538660458,0.16693157,0.027866147,0.11324105,0.045698475,0.8868735051144354
10,This work,--,0.15930533,0.025378192,0.10731964,0.04947304,0.8859291220431175,0.13510476,0.018253295,0.091998115,0.040591918,0.9132231802222893,0.19589287,0.038374018,0.12300587,0.056466542,0.8442153476161466
11,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.09505138,0.009034765,0.05789074,0.02606986,0.9593901895032111,0.14077249,0.019816896,0.08847152,0.03856609,0.9057897437766085,0.2004507,0.040180486,0.118844144,0.054005586,0.8368817558203357
12,TabNet,TabNet,0.1635978,0.026764242,0.121930465,0.052572142,0.8796990657319215,0.14418241,0.020788567,0.11434427,0.04693462,0.901170391603092,0.19486961,0.037974164,0.13937302,0.06281085,0.8458386187574126
13,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,0.14689799,0.02157902,0.09403035,0.041264977,0.8974125535524107,0.23531878,0.05537493,0.12486447,0.058785185,0.775197786514151
14,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.14805724,0.021920947,0.083000176,0.03789546,0.9014688901306481,0.15400508,0.023717565,0.104963765,0.04576744,0.887245823281291,0.23957835,0.057397787,0.13152415,0.06144259,0.7669857300067642
15,Pytorch-Tabular,TabTransformerModel,0.07960172,0.0063364343,0.05750597,0.023903517,0.9715187529796521,0.19646178,0.03859723,0.13730915,0.056154203,0.8165073576906448,0.22382447,0.050097395,0.16513209,0.07170074,0.7966226784751349
16,Pytorch-Tabular,CategoryEmbeddingModel,0.10307905,0.010625291,0.072770104,0.030780178,0.9522410330796756,0.19783601,0.03913909,0.13792986,0.05997595,0.813931352271335,0.2292611,0.052560654,0.16709808,0.071755596,0.7866227238945382
17,Pytorch-Tabular,TabNetModel,0.29403448,0.08645627,0.21239784,0.09214748,0.6113930064187054,0.2644073,0.06991122,0.20156035,0.08198874,0.6676395011660814,0.232253,0.053941455,0.17975697,0.07536968,0.7810171475636778
