,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2
0,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.16341141,0.026703289,0.12816353,0.05371012,0.8761025457484448,0.34277666,0.11749583,0.25797296,0.12012247,0.5895501001683014,0.37026662,0.13709736,0.31294912,0.11149418,0.03806635380866763
1,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.20543616,0.04220401,0.17812908,0.07246871,0.8041825574206727,0.37908208,0.14370322,0.27549484,0.12511021,0.49799939841170837,0.36160693,0.13075957,0.30202955,0.10680273,0.08253497843098201
2,AutoGluon,LightGBMLarge_BAG_L1,0.21591513,0.046619345,0.17277855,0.07086691,0.7836963913511726,0.4528534,0.2050762,0.38096884,0.16558488,0.28360420875862213,0.29322505,0.08598094,0.26126158,0.09462761,0.3967209687619927
3,AutoGluon,CatBoost_BAG_L1/T0,0.23165749,0.05366519,0.20537794,0.08765228,0.751005189016972,0.46869895,0.2196787,0.38236964,0.18259804,0.2325931874836874,0.33395284,0.11152449,0.29694033,0.1094556,0.21749651687328597
4,AutoGluon,WeightedEnsemble_L2,0.21862909,0.047798682,0.18381758,0.07642755,0.7782245212611816,0.47076058,0.22161552,0.3999244,0.17482114,0.22582715222313232,0.2807698,0.07883167,0.22533582,0.082386374,0.44688329034090635
5,Pytorch-Tabular,CategoryEmbeddingModel,0.45999783,0.21159801,0.32276717,0.1428185,0.018231217560963686,0.48437765,0.2346217,0.35353348,0.14326921,0.18039245633884393,0.22079681,0.048751228,0.17702469,0.062023494,0.6579405697984029
6,This work,--,0.3871511,0.14988597,0.27342814,0.11882332,0.30456169090587626,0.4852105,0.23542923,0.35150093,0.16998462,0.17757159066267847,0.22629623,0.051209982,0.2099709,0.07313228,0.6406888648333645
7,AutoGluon,RandomForestMSE_BAG_L1/T0,0.16013381,0.025642835,0.12709709,0.05359652,0.8810228302904746,0.4942059,0.24423946,0.3843147,0.16334702,0.1467946827830785,0.29191837,0.08521633,0.22781159,0.08027373,0.40208583843280077
8,AutoGluon,KNeighborsDist_BAG_L1/T0,0.0,0.0,0.0,0.0,1.0,0.525974,0.2766486,0.3803303,0.17209694,0.0335793214197142,0.34990057,0.122430414,0.30986738,0.10532297,0.14097590781268687
9,AutoGluon,LightGBM_BAG_L1/T0,0.46424925,0.21552736,0.4324436,0.18184489,0.0,0.5566212,0.30982715,0.4790676,0.23284149,-0.08232371656451543,0.43559963,0.18974702,0.4103793,0.15777393,-0.3313461813253409
10,AutoGluon,LightGBMXT_BAG_L1/T0,0.46424925,0.21552736,0.4324436,0.18184489,0.0,0.5566212,0.30982715,0.4790676,0.23284149,-0.08232371656451543,0.43559963,0.18974702,0.4103793,0.15777393,-0.3313461813253409
11,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.3978393,0.15827611,0.32894433,0.13766187,0.265633228717411,0.5566674,0.3098786,0.4925748,0.22045952,-0.08250347566462879,0.35102037,0.1232153,0.3401761,0.123488195,0.13546876074510283
12,AutoGluon,XGBoost_BAG_L1/T0,0.17807543,0.03171086,0.15008369,0.055717446,0.8528685170684652,0.56473964,0.3189309,0.4484787,0.19460769,-0.11412601183442228,0.32825077,0.10774857,0.2776215,0.09894447,0.2439900018654343
13,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.4686236,0.2196081,0.43126267,0.1829249,-0.018933790506312276,0.56897396,0.32373133,0.48929638,0.23833492,-0.1308955304937811,0.41532964,0.1724987,0.3854407,0.1496278,-0.2103245272797094
14,Pytorch-Tabular,AutoIntModel,1.0372038,1.0757916,0.6507341,0.2773308,-3.9914383384845173,0.71126163,0.5058931,0.54098403,0.23655772,-0.76724399905934,0.1608496,0.025872592,0.12364143,0.04210862,0.818466842783572
15,Pytorch-Tabular,TabNetModel,0.7969527,0.6351337,0.6865741,0.2483892,-1.9468823912626525,0.8244272,0.67968017,0.7589131,0.32379735,-1.3743368782098933,0.99613124,0.9922775,0.99448663,0.35792267,-5.96224328965111
16,Pytorch-Tabular,TabTransformerModel,0.8913296,0.7944684,0.7393549,0.30444446,-2.6861602750233944,0.97274405,0.946231,0.7607839,0.29902136,-2.305482878710151,0.4974651,0.24747153,0.40840393,0.1558786,-0.7363658698402142
17,TabNet,TabNet,5.187863,26.913923,2.681882,1.0390065,-123.8747438525212,6.5590734,43.021446,4.097963,1.5083938,-149.2874569132865,0.69174016,0.47850448,0.5619378,0.19680473,-2.3573920278420912
