,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2
0,AutoGluon,NeuralNetFastAI_BAG_L2/T0,0.2557018,0.06538342,0.18624416,0.047069408,0.9600904896638195,0.59893185,0.35871935,0.41369677,0.11569958,0.7801454552387618,0.55668986,0.30990362,0.38876224,0.10087898,0.8122064378423917
1,AutoGluon,CatBoost_BAG_L2/T0,0.2526345,0.063824184,0.1833087,0.050321657,0.961042238300533,0.5803105,0.33676028,0.41167182,0.11592585,0.7936038893471792,0.5780565,0.33414936,0.41652024,0.11098664,0.7975141289387768
2,AutoGluon,LightGBMXT_BAG_L2/T0,0.2632349,0.06929261,0.18540576,0.052880347,0.9577043538244727,0.5794617,0.33577588,0.41298503,0.116665766,0.7942072270280349,0.57854,0.33470854,0.41609085,0.1116901,0.7971752657973035
3,AutoGluon,WeightedEnsemble_L3,0.25163603,0.06332069,0.17677186,0.048707806,0.9613495692675141,0.5768555,0.33276224,0.40540138,0.114008285,0.7960542256519876,0.57996887,0.33636388,0.41278085,0.10974188,0.7961722185221698
4,AutoGluon,ExtraTreesMSE_BAG_L2/T0,0.25639033,0.065735996,0.17857464,0.047416113,0.9598752804392251,0.58295393,0.33983526,0.4065428,0.112748,0.7917192485663549,0.58347654,0.3404449,0.408123,0.10707427,0.7936991970486988
5,AutoGluon,NeuralNetMXNet_BAG_L2/T0,0.25538832,0.06522319,0.17614815,0.046083473,0.9601883028662147,0.5990654,0.35887936,0.41667455,0.11708351,0.7800473801157664,0.5841045,0.34117803,0.41373086,0.10856809,0.7932549140328347
6,AutoGluon,XGBoost_BAG_L2/T0,0.26598942,0.07075038,0.18625735,0.046105437,0.9568145472444974,0.5902004,0.34833652,0.4094526,0.112129815,0.7865089447751555,0.5870651,0.34464544,0.41572773,0.10796366,0.7911537885419931
7,AutoGluon,LightGBM_BAG_L2/T0,0.2895112,0.08381673,0.20677605,0.05656527,0.9488389508308569,0.58927995,0.34725085,0.4143898,0.11719793,0.7871743466324979,0.5944238,0.35333964,0.423179,0.11166917,0.7858853010785258
8,AutoGluon,RandomForestMSE_BAG_L2/T0,0.25743285,0.06627167,0.17794058,0.046371937,0.9595483173599261,0.5841286,0.34120622,0.40179047,0.11226892,0.7908790276192218,0.5970466,0.35646465,0.41437384,0.10855501,0.7839916478231894
9,AutoGluon,LightGBMLarge_BAG_L2,0.28530785,0.08140057,0.19981061,0.053141385,0.9503137517142762,0.6005966,0.3607163,0.42027378,0.11865866,0.7789215420743609,0.6047789,0.36575747,0.42497924,0.11245024,0.7783604664899765
10,AutoGluon,WeightedEnsemble_L2,0.26225418,0.068777256,0.1677682,0.046431996,0.9600286040596114,0.6338649,0.40178466,0.46257713,0.12735741,0.7625022074079636,0.637227,0.40605822,0.46091875,0.11819497,0.7515660583157978
11,AutoGluon,CatBoost_BAG_L1/T0,0.36576715,0.1337856,0.25011343,0.07049482,0.9222475780527161,0.68341666,0.46705836,0.5049921,0.14123526,0.7239184616271297,0.6574883,0.43229082,0.48457465,0.124972686,0.7355164705406332
12,AutoGluon,LightGBMXT_BAG_L1/T0,0.5216829,0.27215305,0.33125353,0.09512912,0.8418323427902851,0.70629215,0.49884862,0.51810753,0.14190975,0.705126994450882,0.6770267,0.45836514,0.49502087,0.12873538,0.7195637366551566
13,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.26836696,0.07202082,0.19665821,0.054942477,0.9581435331255173,0.6898818,0.47593692,0.52304786,0.14564434,0.7186702792677575,0.6782073,0.4599651,0.50052524,0.13134211,0.7185848398896941
14,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.56727386,0.3217996,0.38776723,0.112325564,0.8129791609981658,0.7406251,0.5485255,0.5423725,0.15378629,0.6757626252613305,0.6920435,0.4789242,0.51450044,0.13664436,0.7069852933917051
15,AutoGluon,LightGBM_BAG_L1/T0,0.47834274,0.22881179,0.30543026,0.08800845,0.8670210576424595,0.7093014,0.5031085,0.5253839,0.14733323,0.7026089540681102,0.7020205,0.49283278,0.5213261,0.13509151,0.6984757614544732
16,AutoGluon,LightGBMLarge_BAG_L1,0.2841303,0.080730036,0.17994533,0.0531149,0.9530819819915635,0.71029234,0.5045152,0.53541225,0.14878835,0.7017774455138864,0.70349395,0.49490374,0.52600485,0.13672683,0.6972087052650562
17,AutoGluon,XGBoost_BAG_L1/T0,0.2489168,0.061959576,0.16308835,0.042676345,0.9639908455794676,0.6888589,0.47452658,0.50458336,0.13600467,0.7195039165354544,0.7071711,0.50009096,0.5213096,0.1327154,0.694035110053299
18,AutoGluon,RandomForestMSE_BAG_L1/T0,0.27668887,0.07655673,0.20439906,0.05657176,0.9555073910231836,0.7060846,0.49855545,0.5333019,0.14690123,0.7053003094355307,0.7092323,0.50301045,0.53175867,0.13741007,0.6922488741169405
19,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.63066924,0.39774367,0.46796426,0.12943605,0.7688426048787043,0.7885375,0.62179136,0.57858515,0.16080995,0.6324546421032683,0.7180515,0.51559794,0.52552605,0.13861823,0.6845476211491364
20,Pytorch-Tabular,TabTransformerModel,0.49801624,0.24802019,0.3398489,0.09393863,0.8558576707641994,0.7216584,0.5207909,0.51596373,0.14229034,0.6921567679581857,0.71911144,0.51712126,0.49814528,0.13180812,0.6836156314143059
