,Program,Model,Train RMSE,Train MSE,Train MAE,Train MAPE,Train R2,Validation RMSE,Validation MSE,Validation MAE,Validation MAPE,Validation R2,Test RMSE,Test MSE,Test MAE,Test MAPE,Test R2
0,AutoGluon,ExtraTreesMSE_BAG_L1/T0,0.06793647,0.0046153646,0.03127982,0.01402538,0.9699051171403834,0.17757669,0.031533483,0.08261695,0.034852013,0.8085055077090872,0.14723967,0.02167952,0.06931427,0.03011536,0.8519908047338488
1,AutoGluon,RandomForestMSE_BAG_L1/T0,0.06601742,0.0043583,0.030919852,0.013686991,0.971581324548913,0.17493087,0.030600809,0.08531007,0.03669583,0.8141693807652546,0.17059669,0.02910323,0.07655246,0.03203791,0.8013080586210147
2,AutoGluon,CatBoost_BAG_L1/T0,0.098740295,0.009749646,0.048575554,0.021155925,0.9364265848960526,0.17663446,0.031199733,0.091569774,0.038796417,0.8105322725544823,0.1712953,0.029342078,0.08845946,0.039840315,0.799677420571547
3,AutoGluon,LightGBMLarge_BAG_L1,0.09449927,0.008930112,0.04488342,0.019469243,0.9417704293975976,0.17780897,0.03161603,0.09071522,0.03805017,0.8080042107885611,0.17499134,0.030621968,0.087475106,0.037472244,0.7909394234370024
4,AutoGluon,KNeighborsDist_BAG_L1/T0,0.00077876076,6.0646835e-07,6.9103844e-05,2.6019612e-05,0.9999960454708722,0.20780322,0.043182176,0.09849062,0.04291268,0.7377660761796709,0.17850092,0.03186258,0.08350553,0.03706902,0.7824695820026883
5,AutoGluon,KNeighborsUnif_BAG_L1/T0,0.15984337,0.025549905,0.0787878,0.034558665,0.833399624199094,0.22550598,0.050852947,0.12065146,0.052961364,0.6911834998746008,0.19607641,0.038445957,0.10543882,0.04649251,0.7375239184543743
6,AutoGluon,XGBoost_BAG_L1/T0,0.065406114,0.0042779595,0.037108533,0.014497125,0.9721051926185489,0.1680173,0.028229812,0.087384015,0.03583103,0.8285678042879617,0.19861878,0.03944942,0.092807926,0.038390584,0.7306731415010699
7,AutoGluon,LightGBM_BAG_L1/T0,0.18081492,0.032694034,0.08711214,0.037882313,0.7868156980877368,0.1994436,0.03977775,0.11181548,0.046460494,0.758440235628437,0.21471876,0.046104144,0.11381698,0.051047396,0.6852403723556082
8,AutoGluon,NeuralNetMXNet_BAG_L1/T0,0.1424053,0.020279272,0.09896821,0.039998174,0.8677672544426137,0.21585637,0.04659397,0.14570273,0.060220312,0.7170471247390926,0.21886665,0.047902606,0.14002751,0.056728736,0.6729620144330528
9,AutoGluon,WeightedEnsemble_L2,0.090305835,0.008155144,0.04848885,0.020656468,0.9468236768161947,0.15529285,0.024115872,0.07655322,0.031397544,0.8535506900947472,0.29489708,0.08696428,0.10097506,0.040954396,0.40628236527678396
10,Pytorch-Tabular,AutoIntModel,0.44033417,0.1938942,0.25560418,0.10644749,-0.26430385409502843,0.30230126,0.09138605,0.19792558,0.08069815,0.44503662755448714,0.42543864,0.18099804,0.24834883,0.10364048,-0.23569965615601518
11,AutoGluon,NeuralNetFastAI_BAG_L1/T0,0.16277626,0.02649611,0.08490483,0.03690411,0.8272298253831126,0.18171714,0.03302112,0.101350226,0.042374875,0.7994714561404187,0.44361207,0.19679168,0.14023906,0.05888672,-0.34352506393675175
12,AutoGluon,LightGBMXT_BAG_L1/T0,0.81117815,0.65800995,0.35913792,0.14008616,-3.2906108556448768,0.818878,0.67056113,0.38024333,0.14612454,-3.07214096077246,0.8216154,0.67505187,0.37672845,0.14975198,-3.6086758248278796
13,Pytorch-Tabular,TabNetModel,0.26129636,0.068275794,0.14334987,0.05747287,0.5548018142641382,0.31163087,0.0971138,0.17451824,0.06994558,0.41025356688101167,5.777696,33.381775,0.8811778,0.34137112,-226.9021722093712
14,This work,--,0.12647806,0.015996698,0.063540995,0.026001494,0.8956921503169013,0.3017245,0.09103767,0.15159832,0.062151965,0.4471523107607738,16.564259,274.37463,2.193012,0.839228,-1872.1948955093835
15,Pytorch-Tabular,CategoryEmbeddingModel,0.14723891,0.021679295,0.07619215,0.03234009,0.8586382811842311,0.24395846,0.05951573,0.12826948,0.053960506,0.6385766763012505,19.278458,371.6589,2.509655,0.95597553,-2536.3689352601664
16,Pytorch-Tabular,TabTransformerModel,0.39469668,0.15578547,0.27415287,0.107305706,-0.01581272770834019,0.3851475,0.14833862,0.30099362,0.1177831,0.09917859392641526,26.059122,679.0779,3.5404303,1.3470385,-4635.162486287823
17,TabNet,TabNet,3.0307622,9.18552,0.75238013,0.33173895,-58.894972556914055,0.66933817,0.4480136,0.32790273,0.12984994,-1.7206683935041842,51.189545,2620.3694,7.0510283,2.690129,-17888.63856903543
